Wilayah,Dimensi,Jumlah
Aceh Tamiang,1. Pendidikan,5
Aceh Tamiang,2. Kesehatan,27
Aceh Tamiang,3. Perlindungan Anak,10
Aceh Tamiang,4. Kesejahteraan Sosial,11
Aceh Tamiang,5. Pengetahuan Bencana,8
Aceh Tamiang,6. Harapan Anak,3
Aceh Tamiang,Lainnya,33
Aceh Utara,1. Pendidikan,8
Aceh Utara,2. Kesehatan,31
Aceh Utara,3. Perlindungan Anak,23
Aceh Utara,4. Kesejahteraan Sosial,27
Aceh Utara,5. Pengetahuan Bencana,8
Aceh Utara,6. Harapan Anak,3
Aceh Utara,Lainnya,65
Agam,1. Pendidikan,9
Agam,2. Kesehatan,23
Agam,3. Perlindungan Anak,37
Agam,4. Kesejahteraan Sosial,14
Agam,5. Pengetahuan Bencana,19
Agam,6. Harapan Anak,5
Agam,Lainnya,63
"Desa Kuala Penaga, Aceh Tamiang",1. Pendidikan,9
"Desa Kuala Penaga, Aceh Tamiang",2. Kesehatan,20
"Desa Kuala Penaga, Aceh Tamiang",3. Perlindungan Anak,7
"Desa Kuala Penaga, Aceh Tamiang",4. Kesejahteraan Sosial,9
"Desa Kuala Penaga, Aceh Tamiang",5. Pengetahuan Bencana,7
"Desa Kuala Penaga, Aceh Tamiang",Lainnya,17
"Desa Sekoci, Langkat",1. Pendidikan,9
"Desa Sekoci, Langkat",2. Kesehatan,25
"Desa Sekoci, Langkat",3. Perlindungan Anak,27
"Desa Sekoci, Langkat",4. Kesejahteraan Sosial,21
"Desa Sekoci, Langkat",5. Pengetahuan Bencana,10
"Desa Sekoci, Langkat",6. Harapan Anak,7
"Desa Sekoci, Langkat",Lainnya,28
Langsa,1. Pendidikan,5
Langsa,2. Kesehatan,23
Langsa,3. Perlindungan Anak,14
Langsa,4. Kesejahteraan Sosial,10
Langsa,5. Pengetahuan Bencana,8
Langsa,6. Harapan Anak,3
Langsa,Lainnya,60
"Nagari Ulakan, Padang Pariaman",1. Pendidikan,2
"Nagari Ulakan, Padang Pariaman",2. Kesehatan,20
"Nagari Ulakan, Padang Pariaman",3. Perlindungan Anak,6
"Nagari Ulakan, Padang Pariaman",4. Kesejahteraan Sosial,9
"Nagari Ulakan, Padang Pariaman",5. Pengetahuan Bencana,9
"Nagari Ulakan, Padang Pariaman",6. Harapan Anak,3
"Nagari Ulakan, Padang Pariaman",Lainnya,33
Pidie Jaya,1. Pendidikan,8
Pidie Jaya,2. Kesehatan,12
Pidie Jaya,3. Perlindungan Anak,7
Pidie Jaya,4. Kesejahteraan Sosial,22
Pidie Jaya,5. Pengetahuan Bencana,9
Pidie Jaya,6. Harapan Anak,3
Pidie Jaya,Lainnya,21
Sibolga Utara,1. Pendidikan,8
Sibolga Utara,2. Kesehatan,69
Sibolga Utara,3. Perlindungan Anak,47
Sibolga Utara,4. Kesejahteraan Sosial,32
Sibolga Utara,5. Pengetahuan Bencana,18
Sibolga Utara,6. Harapan Anak,10
Sibolga Utara,Lainnya,59
Tapsel,1. Pendidikan,3
Tapsel,2. Kesehatan,65
Tapsel,3. Perlindungan Anak,31
Tapsel,4. Kesejahteraan Sosial,13
Tapsel,5. Pengetahuan Bencana,6
Tapsel,6. Harapan Anak,12
Tapsel,Lainnya,42
Tapteng,1. Pendidikan,17
Tapteng,2. Kesehatan,76
Tapteng,3. Perlindungan Anak,41
Tapteng,4. Kesejahteraan Sosial,58
Tapteng,5. Pengetahuan Bencana,18
Tapteng,6. Harapan Anak,21
Tapteng,Lainnya,25
