Jenis Kelamin,Umur_Group,Wilayah,Tanggapan,Tanggapan_Final,Dimensi,Sentimen
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang bermain bersama kakak kakak di cfs,senang main sama kakak kakak cfs,Lainnya,Positif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan pr yang susah sekali,pikir pr susah sekali,1. Pendidikan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat banyak lumpur,lihat banyak lumpur,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",melihat sampah yang ada di air,lihat sampah ada air,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar helikopter lewat,dengar helikopter lewat,Lainnya,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",mendengar bantuan datang,dengar bantu datang,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",telinga sakit,telinga sakit,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu dan teh dari bantuan,minum susu teh bantu,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu dan teh dari bantuan,minum susu teh bantu,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",selama banjir minum air hujan,lama banjir minum air hujan,2. Kesehatan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit karena tersenggol,bahu sakit senggol,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit bahu karena tidur di sampan,sakit bahu tidur sampan,2. Kesehatan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",setelah banjir jadi sedih,banjir jadi sedih,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",memikirkan main,pikir main,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bermain bersama dafi,main sama dafi,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersenangsenang dengan farhan,bersenangsenang farhan,Lainnya,Positif
