Jenis Kelamin,Umur_Group,Wilayah,Tanggapan_Final,Dimensi_Utama,Sub_Dimensi,Sentimen
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang main sama kakak kakak cfs,Lainnya,3.4.1 Kehilangan keluarga,Positif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",pikir pr susah sekali,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat sampah ada air,5. Pengetahuan Bencana,2.2.3 Paparan lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat sampah ada air,5. Pengetahuan Bencana,5.1.1 Sampah,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar helikopter lewat,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar bantu datang,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar bantu datang,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",telinga sakit,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,4.3.1 Akses bantuan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,5.3.1 Solidaritas,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lama banjir minum air hujan,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit senggol,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit senggol,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit bahu tidur sampan,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banjir jadi sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",pikir main,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",main sama dafi,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersenangsenang farhan,Lainnya,Lainnya,Positif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak sampah,5. Pengetahuan Bencana,2.2.3 Paparan lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak sampah,5. Pengetahuan Bencana,5.1.1 Sampah,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar orangorang banjir,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum aqua,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,1.2.2 Pelibatan pembersihan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih tinggal rumah,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih tinggal rumah,3. Perlindungan Anak,4.1.1.2 Kerusakan rumah,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih ungsi,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang dapat bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Positif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang dapat bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih pikir ga ngaji,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih pikir ga ngaji,1. Pendidikan,3.3.4 Kesedihan empatik,Negatif
