Dimensi_Utama,Sub_Dimensi,Jumlah
2. Kesehatan,2.2.6 Penyakit lainnya,158
2. Kesehatan,2.2.7 Keterbatasan makanan,152
2. Kesehatan,4.3.2 Bantuan pangan,121
4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,106
3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,94
2. Kesehatan,2.2.2 Kelelahan fisik,76
1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,75
3. Perlindungan Anak,3.3.4 Kesedihan empatik,65
2. Kesehatan,2.2.5 Penyakit pencernaan,55
2. Kesehatan,2.2.3 Paparan lingkungan,54
2. Kesehatan,1.2.2 Pelibatan pembersihan,39
2. Kesehatan,4.1.1.2 Kerusakan rumah,36
4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,34
2. Kesehatan,5.2.2 Menjaga lingkungan,33
Lainnya,1.2.2 Pelibatan pembersihan,31
3. Perlindungan Anak,3.4.1 Kehilangan keluarga,30
3. Perlindungan Anak,4.1.1.2 Kerusakan rumah,28
5. Pengetahuan Bencana,4.3.1 Akses bantuan,28
Lainnya,6.2.1 Infrastruktur publik,28
5. Pengetahuan Bencana,5.3.1 Solidaritas,28
4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,23
Lainnya,4.1.1.2 Kerusakan rumah,21
1. Pendidikan,1.2.2 Pelibatan pembersihan,16
1. Pendidikan,5.2.2 Menjaga lingkungan,14
1. Pendidikan,4.1.1.2 Kerusakan rumah,14
2. Kesehatan,3.4.1 Kehilangan keluarga,13
2. Kesehatan,6.2.1 Infrastruktur publik,13
3. Perlindungan Anak,3.6.1 Ruang aman,12
Lainnya,5.2.2 Menjaga lingkungan,12
Lainnya,6.1.4.1 Kebutuhan sandang,12
2. Kesehatan,3.3.4 Kesedihan empatik,12
2. Kesehatan,3.3.1 Kehilangan rasa aman,11
Lainnya,2.2.7 Keterbatasan makanan,10
1. Pendidikan,5.3.1 Solidaritas,10
4. Kesejahteraan Sosial,4.3.1 Akses bantuan,9
4. Kesejahteraan Sosial,5.3.1 Solidaritas,9
